SYS_ID_TR_MERCHANT_REGISTRATION,NUMBERS
0fc6d6c6-da69-4272-b471-bc50d37516e7,Y0000004731
9b414508-f092-4181-82d2-1f2d1d2d7c50,Y0000040680
24a00149-7c5c-4149-aedf-8ac52eff50e7,Y0000021363
09fc04e1-1a6e-4365-a296-45499dcab0c7,Y0000028673
8d19d850-4abb-474b-b4c3-5cf8e939e2a7,Y0000043872
e76ceee4-1387-4dbc-8e95-fc9210599fbe,Y0000051274
bc52dae3-a9c5-40aa-9bda-8b4a6ca310ca,Y0000042768
0007a1f7-78f1-4cd8-b251-08b1d6517bbb,Y0000037341
b2f178ce-8b27-43a0-8c9a-26884a892026,Y0000000495
a8f57fc7-8d41-4342-a247-36788648ea7f,Y0000048361
7e2c215b-404c-4e0c-87e5-d0767baf77a1,Y0000003283
0f6ccd25-e797-40f5-904f-22efef91d9c5,Y0000045943
48c50a77-4704-405e-9418-7134b0aae809,Y0000000975
c898f7df-3186-4b73-9c7a-dd6e0c3a5c09,Y0000000980
7fe8e3b5-b39a-4c59-bbc6-bbfbe9a55cf2,Y0000018679
a62adeea-1637-4bf9-a71c-8d2b63e6d91b,Y0000041702
b8854e7b-1db6-46c5-b6f7-54055c836f09,Y0000045473
8442f654-95b7-43bf-8f75-5fdf88940c90,Y0000042563
0031e1d8-ca4a-451e-a9e8-acd20e747868,Y0000000556
8051ed76-f2e0-4ef3-9b43-c5c2e65ec97d,Y0000052956
011fe677-862f-4aa2-976e-33ab9b9be395,Y0000046548
df89100f-ec0e-4350-a8ce-f23ab796090b,Y0000047680
a7f2be93-6ad0-4549-b846-0264e1edc571,Y0000041968
6a308c8e-b383-4302-95f5-4959933a3506,Y0000046628
50e85b5e-bb80-43cc-bd5b-58ae0733ac1b,Y0000000569
d11e14dc-8778-44ee-8698-97580e5fa5d4,Y0000042988
cb053d94-15a9-4db0-9e14-720287e5181e,Y0000046284
b920dbf8-2479-448d-be03-3d67251bab75,Y0000000920
d2d83a2c-1725-4a2e-8c7a-5d195f74c5bf,Y0000041656
b9c3a4c4-4458-4281-ae98-ea3d45e85b9f,Y0000004732
7711074c-ba21-4442-aab2-25944a403d21,Y0000040960
c3106de1-fd5f-47c8-835d-11674bb7eb6a,Y0000041108
e3878da8-c03c-416f-8ea7-3f8101ca6258,Y0000042767
106e7d72-bda8-41d0-817e-8b8527d9e2db,Y0000018743
49afbd7e-9336-448e-9b8d-3008a22ffdcf,Y0000048359
2cfce931-8172-4697-a7d5-d6bb86049a38,Y0000047052
5d7f3a65-b92f-4614-9685-2d5366a4df19,Y0000018507
9935aa3f-8903-4046-99b7-a32a6717ae35,Y0000041693
6f12551c-3b01-4b1f-8366-532a0940f6f5,Y0000042778
10206a67-87d9-40a1-9490-4c7fe9bb45c3,Y0000051855
783b58dc-b915-4d26-ac64-5668a256d072,Y0000041032
976ddf71-8c18-4806-b6c5-adedd33a4f51,Y0000046420
53a09eac-cc10-45c0-a3c3-126310891f2c,Y0000026797
087fa3a9-b7c5-473f-beee-ea02e2dca2b8,Y0000037470
3bcd7d5b-ff4a-453b-8ffe-afd9719fdd33,Y0000046554
c5ad3720-b54e-46ab-843e-fc2efe1bdcb6,Y0000051367
c40cf46f-77ca-4fc5-91cf-082e66019548,Y0000042559
53a120c9-d058-48f5-929f-08ea732c999e,Y0000001296
69c75055-6862-4368-be8d-bd06447954aa,Y0000021148
b791b150-5082-4971-b940-0fa583b4b81c,Y0000000660
bca1eeb0-d862-47a9-9356-788c999c0bda,Y0000000518
3d9f79b3-b3f2-40da-a296-a9941d2cfce6,Y0000049621
fa5a678c-8234-43f0-8a3c-33ef249bfb2b,Y0000041757
b84d959a-5ffb-452c-bcf6-b406eeee4bc1,Y0000018178
cdd757e2-3df4-406a-ae56-92907b4c4c4b,Y0000040601
1d8328ce-1656-44c4-b576-1b50f284dc3a,Y0000000647
5755e46b-29ed-4059-8a87-0dd7cd4c694d,Y0000021150
91c271cd-a749-4163-aa10-79f411aaa76b,Y0000041704
619b43d2-d6af-4b8e-9471-1d7307b1b178,Y0000040664
65209110-23ef-453f-af2c-0336dee6610d,Y0000042762
78414c70-9acc-47be-836e-4919506f418c,Y0000052208
aee505cb-bcd7-40d0-bdb3-58e2732f166d,Y0000048722
d5731056-3568-46a9-a0e9-1ab08bbc06bb,Y0000049223
60dc78e8-a741-410e-ad2c-41eb4ae31fdf,Y0000043234
c5e6549b-58ba-4538-b84f-586fcdac0abe,Y0000041590
5ea81aaa-5ea1-4645-9637-a0a25e99537c,Y0000047612
6fb8aac5-aad5-407a-88a6-c301dc41139d,Y0000049220
dd4f728b-f22e-4f9b-80e8-95f5b21f008b,Y0000000676
7eb32af5-678b-44e9-a86c-12d83196cbe2,Y0000043908
46969bbd-063c-46e9-8d7a-920a53a12404,Y0000046279
a8c2a996-b876-4f03-9853-8033b0695ba2,Y0000000710
68ef1c26-6dbd-4057-a068-ac06999ef5f8,Y0000018226
5fa0d667-d119-4ff8-89fa-66438d8e51ed,Y0000018675
ddf5e386-0dbe-4c83-9d04-f82de631e9b5,Y0000046543
f52ea0bf-7ccc-4aa7-8fce-d4211a099c7c,Y0000048955
b9c7734d-1c02-4551-9b3a-def30037e345,Y0000046541
a5ee164f-52fc-4e99-8a2b-28c840a5d7e6,Y0000047066
f73de252-896c-437f-be2d-5d7253e90f47,Y0000047156
b22d8a1f-2728-4047-b5a0-b1985f20de34,Y0000000575
b3d5cd93-83c9-47d9-a232-11b2b8ea6e0b,Y0000042099
5baf33ab-9202-4652-8fce-16305856a2e0,Y0000005871
3d5d3793-b084-4b89-8023-afa939b093da,Y0000003511
c3788dd7-fa8c-44cb-801d-ff37bdd06fbd,Y0000041560
